pr_id,repo_name,pr_number,title,body_len,user_login,user_type,created_datetime,closed_datetime,merged_datetime,created_hour,created_day_of_week,duration_minutes,duration_hours,comments,review_comments,commits,additions,deletions,changed_files,repo_language,repo_stars,repo_forks,is_fpt,keyword,is_merged
1217900573,nduybao/Train,1,prj301,0,ThanhPhong31,User,2023-01-26 13:49:23,2023-01-26 13:49:38,2023-01-26 13:49:38,13,4,0.25,0.004166666666666667,0,0,1,3900,0,41,Java,0,0,1,PRJ301,1
1285249723,Henrily041103/PRJ301_SP2023,18,https://github.com/Henrily041103/PRJ301_SP2023.git,0,wave-npa,User,2023-03-22 05:26:17,2023-03-22 06:02:53,2023-03-22 06:02:53,5,3,36.6,0.61,0,0,2,45,38,8,Java,0,3,1,PRJ301,1
1476177616,NoFearTeam2023/FPT-Capstone-UpReach-Project,36,Ha/fe,0,hoanganh1810tx,User,2023-08-15 16:34:46,2023-08-15 16:35:16,2023-08-15 16:35:16,16,2,0.5,0.008333333333333333,1,0,2,38,14,5,JavaScript,0,0,1,Capstone FPT,1
1478047761,NoFearTeam2023/FPT-Capstone-UpReach-Project,39,Be hieu update,0,quanqhieu07,User,2023-08-16 20:39:13,2023-08-17 13:16:34,,20,3,997.35,16.6225,1,0,3,466,301,5,JavaScript,0,0,1,Capstone FPT,0
1479032519,NoFearTeam2023/FPT-Capstone-UpReach-Project,41,Be hieu update,0,quanqhieu07,User,2023-08-17 13:17:04,2023-08-17 14:43:44,2023-08-17 14:43:44,13,4,86.66666666666667,1.4444444444444444,1,0,4,464,301,5,JavaScript,0,0,1,Capstone FPT,1
1481441501,NoFearTeam2023/FPT-Capstone-UpReach-Project,45,fix bug update new influ + input cost,0,quanqhieu07,User,2023-08-19 12:30:52,2023-08-19 12:47:21,2023-08-19 12:47:21,12,6,16.483333333333334,0.27472222222222226,1,0,1,159,122,21,JavaScript,0,0,1,Capstone FPT,1
1481441586,NoFearTeam2023/FPT-Capstone-UpReach-Project,46,fix bug update new influ + input cost,0,quanqhieu07,User,2023-08-19 12:31:18,2023-08-19 14:54:51,,12,6,143.55,2.3925,1,0,2,290,247,3,JavaScript,0,0,1,Capstone FPT,0
1481498916,NoFearTeam2023/FPT-Capstone-UpReach-Project,47,Be hieu update,0,quanqhieu07,User,2023-08-19 14:55:16,2023-08-19 19:57:40,,14,6,302.4,5.04,1,0,2,290,247,3,JavaScript,0,0,1,Capstone FPT,0
1481631131,NoFearTeam2023/FPT-Capstone-UpReach-Project,48,Dattruong code fe,0,imThien,User,2023-08-20 02:50:41,2023-08-20 02:50:49,2023-08-20 02:50:49,2,0,0.13333333333333333,0.0022222222222222222,1,0,3,382,199,7,JavaScript,0,0,1,Capstone FPT,1
1481636826,NoFearTeam2023/FPT-Capstone-UpReach-Project,51,Update History report and point,0,imThien,User,2023-08-20 03:40:13,2023-08-20 03:54:23,2023-08-20 03:54:23,3,0,14.166666666666666,0.2361111111111111,1,0,2,623,140,16,JavaScript,0,0,1,Capstone FPT,1
1481814258,NoFearTeam2023/FPT-Capstone-UpReach-Project,52,Update for client and Influencer,0,imThien,User,2023-08-20 15:01:10,2023-08-20 15:01:17,2023-08-20 15:01:17,15,0,0.11666666666666667,0.0019444444444444444,1,0,1,203,33,5,JavaScript,0,0,1,Capstone FPT,1
1481870383,NoFearTeam2023/FPT-Capstone-UpReach-Project,54,Update code,0,hoanganh1810tx,User,2023-08-20 18:28:21,2023-08-20 18:29:49,2023-08-20 18:29:49,18,0,1.4666666666666666,0.024444444444444442,1,0,1,227,94,17,JavaScript,0,0,1,Capstone FPT,1
1481889316,NoFearTeam2023/FPT-Capstone-UpReach-Project,56,Be hieu update,0,quanqhieu07,User,2023-08-20 19:52:17,2023-08-20 19:58:08,2023-08-20 19:58:08,19,0,5.85,0.09749999999999999,1,0,7,223,213,3,JavaScript,0,0,1,Capstone FPT,1
1483739301,NoFearTeam2023/FPT-Capstone-UpReach-Project,59,admin upgrade,0,quanqhieu07,User,2023-08-21 23:38:42,2023-08-22 13:21:02,2023-08-22 13:21:02,23,1,822.3333333333334,13.705555555555556,1,0,1,188,42,6,JavaScript,0,0,1,Capstone FPT,1
1483739580,NoFearTeam2023/FPT-Capstone-UpReach-Project,60,admin upgrade + date update influ,0,quanqhieu07,User,2023-08-21 23:39:15,2023-08-22 13:20:57,2023-08-22 13:20:57,23,1,821.7,13.695,1,0,1,889,578,37,JavaScript,0,0,1,Capstone FPT,1
1484873657,NoFearTeam2023/FPT-Capstone-UpReach-Project,63,Update code in history report,0,hoanganh1810tx,User,2023-08-22 14:27:19,2023-08-22 14:32:53,2023-08-22 14:32:53,14,2,5.566666666666666,0.09277777777777778,1,0,2,32,11,6,JavaScript,0,0,1,Capstone FPT,1
1485267308,NoFearTeam2023/FPT-Capstone-UpReach-Project,64,Update update Pass and Change Pass,0,imThien,User,2023-08-22 18:54:50,2023-08-22 18:56:41,2023-08-22 18:56:40,18,2,1.85,0.030833333333333334,1,0,2,161,13,6,JavaScript,0,0,1,Capstone FPT,1
1486882207,NoFearTeam2023/FPT-Capstone-UpReach-Project,65,Ha/fe,0,hoanganh1810tx,User,2023-08-23 18:46:32,2023-08-23 18:46:42,2023-08-23 18:46:42,18,3,0.16666666666666666,0.0027777777777777775,1,0,2,310,59,12,JavaScript,0,0,1,Capstone FPT,1
1486885482,NoFearTeam2023/FPT-Capstone-UpReach-Project,66,Dacthien fe,0,imThien,User,2023-08-23 18:48:53,2023-08-23 18:49:29,2023-08-23 18:49:29,18,3,0.6,0.01,1,0,2,281,16,6,JavaScript,0,0,1,Capstone FPT,1
1488192558,NoFearTeam2023/FPT-Capstone-UpReach-Project,67,Hieu fe/fe backup,0,quanqhieu07,User,2023-08-24 14:44:47,2023-08-24 16:15:40,2023-08-24 16:15:40,14,4,90.88333333333334,1.5147222222222223,1,0,4,691,504,43,JavaScript,0,0,1,Capstone FPT,1
1488340534,NoFearTeam2023/FPT-Capstone-UpReach-Project,68,Update code admin page,0,hoanganh1810tx,User,2023-08-24 16:14:48,2023-08-24 16:16:30,2023-08-24 16:16:30,16,4,1.7,0.028333333333333332,1,0,2,171,96,9,JavaScript,0,0,1,Capstone FPT,1
