pr_id,repo_full_name,pr_number,title,body_len,user_login,user_type,created_at,closed_at,merged_at,duration_minutes,comments,review_comments,commits,additions,deletions,changed_files,repo_language,repo_stars,repo_forks,is_fpt,keyword
3727543165,hhnam746/SWP391-AutoWashPro-BE,5,"Revert ""feat: implement Swagger configuration, JWT service structure, and glo…""",40,thienhao05,User,2026-05-22T02:37:08Z,2026-05-22T02:37:16Z,2026-05-22T02:37:16Z,0.13,0,0,1,274,632,32,C#,0,0,1,SWP391
3727541231,hhnam746/SWP391-AutoWashPro-BE,4,"Revert ""feat: add Response base class for PageResult""",40,thienhao05,User,2026-05-22T02:36:38Z,2026-05-22T02:36:46Z,2026-05-22T02:36:46Z,0.13,0,0,1,8,30,11,C#,0,0,1,SWP391
3745127304,fptu-se-su26/swp391-su26-ai-audit-project-swp391_se20a04_group-03-1,9,Dev,1504,tranviet-tv,User,2026-05-26T01:45:37Z,2026-05-26T01:45:48Z,2026-05-26T01:45:48Z,0.18,0,0,2,3098,673,20,TypeScript,2,0,1,SWP391
3723770674,fptu-se-su26/swp391-su26-ai-audit-project-swp391_se20a04_group-03-1,5,Feat/de191024 code frontend,1529,LeoKens-tofu,User,2026-05-21T13:30:57Z,2026-05-21T13:31:11Z,2026-05-21T13:31:11Z,0.23,0,0,3,235,109,3,TypeScript,2,0,1,SWP391
3776201957,fptu-se-su26/swp391-su26-ai-audit-project-swp391_se20a11_group-04-1,8,Feature/se200322 sprint weekly planning,83,hieu2816,User,2026-05-31T11:10:03Z,2026-05-31T11:11:29Z,2026-05-31T11:11:29Z,1.43,0,0,2,0,17,1,JavaScript,0,0,1,SWP391
3745116581,fptu-se-su26/swp391-su26-ai-audit-project-swp391_se20a04_group-03-1,8,Feat/de191024 backend,1583,tranviet-tv,User,2026-05-26T01:42:45Z,2026-05-26T01:43:06Z,2026-05-26T01:43:06Z,0.35,0,0,21,7940,845,68,TypeScript,2,0,1,SWP391
3734976658,kiet493/SWP391,1,add(SWP391): Thêm cấu trúc dự án,0,thang123-2,User,2026-05-23T13:00:10Z,2026-05-23T13:00:24Z,2026-05-23T13:00:24Z,0.23,0,0,1,0,0,22,Java,0,0,1,SWP391
3781901696,LeDangDuyw/SWP391,8,"Revert ""merge login and register""",27,trluwc,User,2026-06-01T15:16:58Z,2026-06-01T15:17:45Z,2026-06-01T15:17:45Z,0.78,0,0,1,0,2575,27,Java,0,0,1,SWP391
3762099229,dat0405/swp391-parking-system,1,Add initial frontend source,974,hoanganh333s,User,2026-05-28T12:55:39Z,2026-05-28T13:19:54Z,2026-05-28T13:19:54Z,24.25,1,13,3,4898,0,28,JavaScript,0,0,1,SWP391
3782197890,swp391-horseracing/horse-racing-api,11,Ops/migrate,0,patohru,User,2026-06-01T16:08:38Z,2026-06-01T16:19:11Z,2026-06-01T16:19:11Z,10.55,1,2,4,7,22,3,TypeScript,0,0,1,SWP391
